Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lat Pulldown (Cable)",1,54.0,10.0,0,0.0,"","",
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lat Pulldown (Cable)",2,54.0,8.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lat Pulldown (Cable)",3,54.0,7.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lat Pulldown (Cable)",4,52.0,9.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Bench Press (Barbell)",1,23.0,10.0,0,0.0,"",,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Bench Press (Barbell)",2,23.0,9.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Bench Press (Barbell)",3,23.0,8.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Bench Press (Barbell)",4,21.0,9.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Seated Row (Cable)",1,41.0,10.0,0,0.0,"",,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Seated Row (Cable)",2,41.0,10.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Seated Row (Cable)",3,41.0,11.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Seated Row (Cable)",4,41.0,10.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lateral Raise (Dumbbell)",1,5.0,12.0,0,0.0,"",,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lateral Raise (Dumbbell)",2,5.0,12.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lateral Raise (Dumbbell)",3,5.0,12.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lateral Raise (Dumbbell)",4,5.0,12.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Lateral Raise (Dumbbell)",D,3.0,3.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Iso-Lateral Row (Machine)",1,20.0,8.0,0,0.0,"",,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Iso-Lateral Row (Machine)",2,20.0,7.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Iso-Lateral Row (Machine)",3,17.5,8.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Iso-Lateral Row (Machine)",4,17.5,8.0,0,0.0,,,
2024-02-03 16:10:30,"Afternoon Workout",1h 10m,"Iso-Lateral Row (Machine)",D,15.0,4.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Incline Bench Press (Dumbbell)",1,24.0,8.0,0,0.0,"","",
2024-02-03 18:25:59,"Evening Workout",40m,"Incline Bench Press (Dumbbell)",2,24.0,7.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Incline Bench Press (Dumbbell)",3,24.0,8.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Incline Bench Press (Dumbbell)",4,24.0,6.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Lateral Raise (Cable)",1,4.4,11.0,0,0.0,"",,
2024-02-03 18:25:59,"Evening Workout",40m,"Lateral Raise (Cable)",2,4.4,11.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Lateral Raise (Cable)",3,4.4,11.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Lateral Raise (Cable)",4,4.4,11.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Shoulder Press (Plate Loaded)",1,10.0,8.0,0,0.0,"",,
2024-02-03 18:25:59,"Evening Workout",40m,"Shoulder Press (Plate Loaded)",2,10.0,8.0,0,0.0,,,
2024-02-03 18:25:59,"Evening Workout",40m,"Shoulder Press (Plate Loaded)",3,10.0,8.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Squat (Barbell)",1,15.0,10.0,0,0.0,"","",
2024-02-03 19:08:22,"Evening Workout",33m,"Squat (Barbell)",2,16.25,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Squat (Barbell)",3,16.25,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Squat (Barbell)",4,15.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Hack Squat",1,13.0,7.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Hack Squat",2,13.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Hack Squat",3,12.5,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Hack Squat",4,10.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Leg Press",1,40.0,8.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Leg Press",2,40.0,7.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Leg Press",3,40.0,7.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Lying Leg Curl (Machine)",1,38.0,9.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Lying Leg Curl (Machine)",2,38.0,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Lying Leg Curl (Machine)",3,38.0,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",1,0.0,7.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",2,0.0,7.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",3,0.0,6.0,0,0.0,,,
